André-Frank Zambo Anguissa,26,Thu Nov 16 01:00:00 CET 1995,Premier League,2018/2019,Midfielder,0,Cameroon,0,0,0,0,0
Andreas Christensen,25,Wed Apr 10 02:00:00 CEST 1996,Premier League,2018/2019,Defender,0,Denmark,0,0,0,0,0
Andreas Pereira,26,Mon Jan 01 01:00:00 CET 1996,Premier League,2018/2019,Midfielder,0,Brazil,1,1,0,0,0
Andrew Robertson,27,Fri Mar 11 01:00:00 CET 1994,Premier League,2018/2019,Defender,0,Scotland,0,0,0,0,0
Andrew Surman,35,Wed Aug 20 02:00:00 CEST 1986,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Andriy Yarmolenko,32,Mon Oct 23 01:00:00 CET 1989,Premier League,2018/2019,Forward,0,Ukraine,2,0,2,0,0
Andros Townsend,30,Tue Jul 16 02:00:00 CEST 1991,Premier League,2018/2019,Midfielder,0,England,6,2,4,0,0
Andy Carroll,33,Fri Jan 06 01:00:00 CET 1989,Premier League,2018/2019,Forward,0,England,0,0,0,0,0
Angel Gomes,21,Thu Aug 31 02:00:00 CEST 2000,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Angelo Ogbonna,33,Mon May 23 02:00:00 CEST 1988,Premier League,2018/2019,Defender,0,Italy,1,1,0,0,0
Angus Gunn,25,Mon Jan 22 01:00:00 CET 1996,Premier League,2018/2019,Goalkeeper,0,England,0,0,0,0,0
Anthony Driscoll-Glennon,22,Fri Nov 26 01:00:00 CET 1999,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Anthony Knockaert,30,Wed Nov 20 01:00:00 CET 1991,Premier League,2018/2019,Midfielder,0,France,2,1,1,0,0
Anthony Martial,26,Tue Dec 05 01:00:00 CET 1995,Premier League,2018/2019,Forward,0,France,10,4,6,1,0
Antonio Barreca,26,Sat Mar 18 01:00:00 CET 1995,Premier League,2018/2019,Defender,0,Italy,0,0,0,0,0
Antonio Rüdiger,28,Wed Mar 03 01:00:00 CET 1993,Premier League,2018/2019,Defender,0,Germany,1,1,0,0,0
Antonio Valencia,36,Sun Aug 04 02:00:00 CEST 1985,Premier League,2018/2019,Defender,0,Ecuador,0,0,0,0,0
Arijanet Muric,23,Sat Nov 07 01:00:00 CET 1998,Premier League,2018/2019,Goalkeeper,0,Montenegro,0,0,0,0,0
Aron Einar Gunnarsson,32,Sat Apr 22 02:00:00 CEST 1989,Premier League,2018/2019,Midfielder,0,Iceland,1,1,0,0,0
Arthur Masuaku,28,Sun Nov 07 01:00:00 CET 1993,Premier League,2018/2019,Defender,0,France,0,0,0,0,0
Artur Boruc,41,Wed Feb 20 01:00:00 CET 1980,Premier League,2018/2019,Goalkeeper,0,Poland,0,0,0,0,0
Ashley Barnes,32,Mon Oct 30 01:00:00 CET 1989,Premier League,2018/2019,Forward,0,England,12,6,6,2,0
